EVE,DATE,LOC,HOUR
NACニセコアドベンチャーセンター（ラフティング他）,春夏秋冬ニセコを遊びつくすなら、22年のキャリアを持つNACで！,倶知安町字山田179-53 第一泉郷内,定休日／なし営業時間／8：00～21：00
よってけ！島牧(道の駅),追分ソーランラインにある南後志エリアの観光拠点。新鮮魚介の網焼きが評判,島牧村千走11-1,火曜日（祝日の場合は翌日休み）、年末年始9:00～18:00(7～8月)、9:00～17:00(9～6月)※レストランは11:00～14:30(LO14：00)
神仙沼(しんせんぬま),湖面が空を映し出し、四季折々の神秘的な風景をつくるニセコ山系で最も美しい沼,共和町前田,11月～4月末まで道道66号線通行止
スペース・アップルよいち(道の駅),余市ならではのフルーツや宇宙の不思議を体験できる道の駅,余市町黒川町6-4-1,■夏期(4月末～11/3頃)定休なし・9：00～18：00■冬期(11/3頃～4月中旬)月曜定休(祝日の場合翌日)・9：00～16：30
三角市場,駅前で約50年の歴史を持つ名物市場。価格が安く、鮮度の良さも折り紙つき,小樽市稲穂3町目10-16,なし・6：00～17：00
ニセコ五色温泉旅館　(秘湯・露天風呂),硫黄の匂いに包まれ絶景を眺めながらゆったりリフレッシュ,ニセコ町ニセコ510,日帰り入浴利用時間：夏期：8:00～20：00(閉館21:00)冬期は要電話確認定休日：なし
230ルスツ（道の駅）,羊蹄山を眺望できる場所にあり、直売所ではルスツの朝取れ野菜が豊富！,留寿都村留寿都127番地,定休日／年末年始(12/31～1/3)営業時間／9：00～18：00（4～10月）、9：00～17：00（11～3月）
湧水の里 (とうふ製造・販売),羊蹄の湧き水で作ったおいしい豆腐とヘルシー豆腐スイーツがいっぱい,真狩村字杜217-1,火曜・8:00～18:00(4～10月)8:30～17:00(11～3月)
名水の郷きょうごく(道の駅),羊蹄の麓でリフレッシュ。美味しい水と、広々とした芝生広場でのんびり,京極町川西45-1,年末年始休み8:00～18:00(4月～10月)8:00～17:00(11月～3月)
交流促進センター 雪秩父,大自然を見渡せる絶景露店が自慢。女性におすすめ“泥パック”,蘭越町字湯里680,定休日／毎週火曜日(祝・祭日、年末年始、ゴールデンウィーク除く）営業時間／10：00～20：00
望羊中山　(道の駅),名物の「峠のあげいも」を食べに多くの人が集まる。一度食べたらやめられない,喜茂別町川上345,年中無休   8:30～17:30
真狩フラワーセンター(道の駅),敷地内は多彩な花がいっぱい。ガーデニング好きにはたまらない,真狩村光8-3,年末年始(12/31～1/3)・9:00～18:00(4月下旬～10月)／9:30～16:30(11月～4月下旬)
ニセコHANAZONOリゾート,レジャーはもちろんグルメもお任せ！清潔でおしゃれなアクティビティー発信基地！,倶知安町字岩尾別328-1,営業時間：9:00～18:00定休日：なし※メニュー、時期により異なる
シェルプラザ・港 (道の駅),日本海側のドライブには欠かせないスポット。貝のカタチ（貝の館）の建物が目印,蘭越町港町1402-1,休み：火曜（11月～3月）　　　年末年始(12/31－1/3)営業：9:00～17:00（5～8月は～18：00）
らんこし・ふるさとの丘(道の駅),ドライブ途中の休憩や大自然の中で仲間とのレクリエーションに最適！,蘭越町相生969,定休日／11月～3月は毎週火曜日（祝日の場合は翌日）、年末年始（12/31～1/3）営業時間／9：00～17：00
くろまつない トワ・ヴェールⅡ(道の駅),地元の銘水仕込みの焼きたてパンは、ここの顔。売り切れ覚悟の人気商品！,黒松内町白井川8-10,なし(11～3月は第2・第4火曜休)・9：00～18：00(11～3月は9:00～17：00)
北一ヴェネツィア美術館,イタリアの古都ヴェネツィアの貴族文化に触れられる美術館,小樽市堺町5-27,定休日／なし（展示入替えのため休館あり）開館時間／8：45～18：00（入館は17：30まで）
キロロリゾート,雄大な森に囲まれたリゾートでワクワクメニューを満喫！,赤井川村常盤128-1,アクティビティによって異なります(要問合せ)
黄金岬,青く澄んだ日本海や自然がつくりだす海岸線の美しさに感動,積丹町美国,
山本観光果樹園,種類が豊富な果樹園で旬の味覚を狩ったり、食べたり。自慢のアップルパイも美味,余市町登町1102-5,9:00～17:00　6月中旬～11月上旬営業※冬期の入場はできません
小樽市手宮洞窟保存館（国指定史跡 手宮洞窟）,"1,600年前の続縄文時代の彫刻を保存。洞窟内は人類のロマンを感じるタイムマシーン",小樽市手宮1丁目3-4,休館日／火曜日(祝日は開館、翌日以降の平日に振替休)、11/4～4/28(冬期休館)公開時間／9：30～17：00
小樽　春香ホースランチ　(乗馬),乗馬ドキドキ体験！馬の優しさに触れながら、春香山の森をトレッキング,小樽市春香町397,営業時間：【夏期】10：00～(最終スタート)16：00【冬期】10：00～(最終スタート)15：00定休日：木曜(祝祭日の場合は営業)
小樽オルゴール堂 本館,日本最大級のオルゴール専門店。あなたの「思い出のあの曲」がきっと見つかるはず,小樽市住吉町4-1,無・9:00～18:00※夏季(7月～9月)の金・土と祝前日は9:00～19:00
小樽運河とガス燈,ノスタルジックな雰囲気に浸れる、ガス燈ゆらめく夜の運河へ,小樽市港町,
積丹岬,息をのむ美しさ！神秘的なシャコタンブルーの海が眺められるビューポイント,積丹町入舸町,
大正硝子館,とんぼ玉製作や吹き硝子の体験もできる。硝子のやさしさに出会える館,小樽市色内1-1-8,営業時間：9:00～19:00(夏期は20:00まで)定休日：なし
田中酒造 本店,「魔法の一滴　本みりん」が女性に人気！道産の酒造好適米にこだわる老舗造り酒屋,小樽市色内3丁目2-5,営業時間：9:00～18:00定休日：なし
岬の湯しゃこたん,日本海を一望する感動の大パノラマ。絶景に心も体もほぐれる露天風呂,積丹町大字野塚町212-1,・夏期営業　4月～10月10：00～21：00(受付終了は20：30)水曜休 ※水曜が祝祭日の場合は営業、7・8月は無休・冬期営業　11月～3月11：00～20：30(受付終了は20：00)水・木定休
毛無山展望所,曲がりくねった山道の中腹に広がる港町・小樽の夜景,小樽市天神4丁目1,冬期閉鎖(春は雪の状況によります)
手宮公園,小樽の町並を高台から見下ろし、春にはピンクの桜が咲き誇る,小樽市手宮2丁目,
GOOD SPORTS　(レンタルスキー・ラフティング他),ラフティング体験には温泉が付いて大満足！札幌発着無料送迎もあり,夏期：倶知安町山田70-1,営業時間：9:00～18:00※冬期間は営業時間変更あり定休日：なし
BLUE HOLIC(ブルーホリック),シーカヤックでしか見られない海の美しさ。感動体験で心を充電,小樽市塩谷1丁目28-13,営業時間：8:00～20:00定休日：無(5月～9月の営業期間)
さくらんぼ山観光農園,約4000本のさくらんぼの木がある広大な農園！食べ放題の果物狩りを楽しむ,仁木町南町9-138,6～10月・8:00～17:00(冬期は休業)
市立小樽文学館・市立小樽美術館,商都として繁栄した古き良き時代と今を、アート＆文学で感じる,小樽市色内1丁目9-5,休館日／両館とも月曜日・祝日の翌日(土・日は除く)・年末年始開館時間／9:30～17:00
さかもと公園 甘露泉,ほのかに感じる甘みはコーヒーにもピッタリ！,ニセコ町ニセコ413-55,
西村計雄記念美術館,自然に学び変化し続けた西村計雄の多彩な作品に出会える丘の上の美術館,共和町南幌似143-2,営業時間：9：00～17：00(入館16：30まで)※展示替えにより臨時休館あり定休日：月曜(祝日の場合は翌日休)、年末年始
ルスツリゾート,14時からのトワイライト券や夏季限定のナイター券など、とってもお得なメニューがいっぱい！,留寿都村泉川13番地,4月・11月クローズ有り　営業期間／2018年4月28日～10月14日
ふきだし公園,こんこんと湧き出る羊蹄の伏流水。「名水百選」に選ばれた極上の味を堪能して,京極町川西,年中無休
ニセコパノラマライン,カーブを曲がるたびに美しい景色が現れる。パノラマラインでスロードライブを,共和町前,11月～4月末まで道路通行止め
有島記念館,「カインの末裔」の舞台になったニセコで、有島の思想と作品世界に浸る,ニセコ町有島57,定休日／毎週月曜日及び年末年始※ただし、夏季は月曜日でも開館する場合があります。お問合せ下さい開館時間／9：00～17：00(入館は16：30まで)
ニセコ グラン・ヒラフ　サマーゴンドラ,ニセコアンヌプリの大自然を満喫！サマーゴンドラで標高820mの中空へ,倶知安町山田204,営業期間／2018年7月14日（土）～9月24日（月）営業時間／9：00～16：00※8月10日～8月16日は8：30～17：00
ニセコマウンテンリゾート　グラン・ヒラフ（紅葉）,期間限定のサマーゴンドラでニセコの短い秋を満喫,倶知安町山田204,ゴンドラ営業期間／2018年7月14日（土）～9月24日（月）ゴンドラ営業時間／9：00～16：00※8月10日～8月16日は8：30～17：00
ニセコパノラマライン (紅葉),ドライブしながら色づく山々を楽しめる絶景ルート,ニセコ町～岩内町,
鏡沼,風のない晴れた午前中は写真日和。鏡沼に映しだされるもうひとつの風景,倶知安町花園,
半月湖,羊蹄山の麓にひっそりとある火口湖「半月湖」。湖一周の散策路で四季の移り変わりを体感,倶知安町字比羅夫,
賀老の滝,70ｍの高さから、豪快に流れ落ちる北海道最大級の滝,島牧村字賀老,夏期のみ営業(6月初旬～10月下旬)冬期は雪が降り次第閉鎖
中山峠スキー場,札幌市内からアクセス抜群。天然パウダースノーを疾走する快感！,喜茂別町川上345番地,9：00～16：00(11月上旬～12月中旬、春スキー4/1頃～5月中旬)※気象状況で変更あり
ニセコマウンテンリゾート　グラン・ヒラフ　(スキー場),多彩なコースと雄大なスケール。世界が注目するパウダースノーリゾート！,倶知安町字山田204番地,営業時間：2016年11月23日(水・祝)～2017年5月7日(日)予定定休日：なし8：30～16：30(ナイター営業時16：30～20：30まで)※ナイター営業は3月20日まで
キロロスノーワールド,丁寧に圧雪した滑らかなバーン、豊かな自然とゲレンデのバリエーションがスキーヤーを魅了,赤井川村常盤128-1,※ゴンドラ・リフトの運行期間、運行時間はそれぞれ異なります。詳細は下記ホームページをご確認下さい。■営業期間2016年11月23日（水）～2017年5月7日（日）予定■営業時間9：00～16：15、または日没まで※ナイター運行は16：30～19：30
ニセコアンヌプリ国際スキー場,まさに国際的なスキー場となったニセコを代表する上質のゲレンデ,ニセコ町ニセコ485,営業期間：～2017年5月7日(日)予定営業時間：8：30～16：30ナイター営業／3月20日(月)まで　16：30～20：30
おたる水族館,国定公園に囲まれた水族館。イルカやセイウチに会いに行こう！,小樽市祝津3-303,■通常営業　平成28年3月19日(土)～平成28年11月27日(日)・9:00～17:00■冬期営業 平成28年12月17日(土)～平成29年2月26日(日)・10:00～16:00■休館日平成28年11月28日(月)～12月16日(金)※入館は閉館時間の30分前まで
ニセコビレッジ自然体験グラウンド「ピュア」,ニセコの雄大な自然の中で楽しむアウトドアレジャー施設,ニセコ町東山温泉,営業期間：2016年4月29日(金・祝)～10月10日(月・祝)※4～5月はGW期間4月29日～5月8日のみの営業で、ツリートレッキングのみ開催※6月は土休日のみ営業※7月1日～10月10日は毎日営業※9：00～17：00まで営業(10/1～10/10は16：00まで営業)
革と珈琲 fanfun,世界にひとつだけの革製品は格別,ニセコ町曽我256－3,定休日／火曜（冬季は火・水曜）営業時間／10：00～17：00
運河プラザ,『旧小樽倉庫』を活用した施設。小樽の観光収集ならココ！,小樽市色内2丁目1-20,年中無休・9:00～18:00 ※季節等により変動あり
北のウォール街,明治から大正期の建造物が、今もなお色濃く残るエリア,小樽市色内周辺,ライトアップあり(日没～22:30頃まで)※施設により異なる
ルタオパトス,堺町通りのルタオパトスで、ここだけの限定スイーツを食べる,小樽市堺町5－22,なし・9:00～18:00(カフェは営業時間終了の30分前まで)※季節により変動あり
ニセコビレッジ スキーリゾート,羊蹄山が眺望できるリゾート。充実したコースに大満足,ニセコ町東山温泉,営業期間：2017年12月1日～2018年4月8日（8:30～16:30）※予定GW特別営業期間：2018年4月28日～5月6日（8:30～16:30）※積雪状況により、営業期間が変更となる場合がございます
ニセコ駅前温泉綺羅乃湯　(日帰温泉),JRニセコ駅前の便利な温泉！和洋、男女日替わりで楽しめます,ニセコ町字中央通33番地,営業時間：10：00～21：30　※最終受付21:00定休日：水曜日休館(祝日の場合は翌日)
水天宮,外人坂界隈の歴史的建造物巡り、その一つに加えたい水天宮,小樽市相生町3-1,
旗イトウ製作所,Ｔシャツや小物など、染めもの体験をしてみませんか？,小樽市堺町1-10,日曜、祝日定休旗染め体験／10：00～15：00(会社の営業時間は9：00～18：00です)※事前の予約が必要です
旭展望台,18本の自然散策コースを整備。展望台から小樽の絶景を満喫！,小樽市富岡2丁目,無休(冬期閉鎖)
MARINE WAVE OTARU(マリンウェーブ小樽),小樽港に沈む真っ赤な夕陽と多彩なマリンレジャーを楽しめるマリーナ,小樽市築港5番7号,水曜日休・4～9月(平日9:00～18:00、日・祝日8:00～18:00)、10～3月(9:00～17:00)※7～8月は無休の予定
郷の駅　ホッときもべつ,観光ドライブルートの最適な休憩スポット「喜茂別ロック」などご当地スイーツも要チェック！,喜茂別町字喜茂別306-3,〇お土産コーナー・野菜コーナー不定休、9:00～19:00〇フードコーナー毎週月曜定休。月曜が祝日の場合は火曜定休、10:00～15:00
すっつ浜直市場,獲れたて新鮮な魚介類の直売所！寿都名産「寿かき」は春が狙い目！,寿都町字大磯町196番地,4～12月：火曜定休、1～３月：土・日曜定休平日9：00～16：00(ランチ11：00～14：00)※ 冬期間の営業は直売部門のみ、飲食部門は休止
いわない（道の駅）,ご当地グルメの“たちかま”と“チーズ大福”が静かな人気！,岩内町万代47番地4,■定休日：4/21～10月は無休、11月～4/20は毎月曜日（祝日の時は翌日）、年末年始（12/31～1/5）■営業時間：4月～10月／9：00～18：00、11月～3月／9：00～17：30
祝津パノラマ展望台,北・東・西の三方位に海を臨める、朝日も夕陽も楽しめる絶景ポイント,小樽市祝津3丁目,無休　※冬期は積雪状態による
南樽市場,小樽市民御用達の市場。今日のメニューは市場で決めよう！,小樽市新富町12番1号,日曜日・9:00～18:30
小樽公園,約900本もの桜が咲き、5月上旬～中旬は圧巻！,小樽市花園5,なし
ほたるん公園,夏にはホタルが舞う公園。プリンを持って、ティータイム,小樽市朝里川温泉2丁目676周辺,無休(冬期閉鎖)
小樽天狗山ロープウェイ,JR小樽駅から車で約15分！市内を一望できる絶景スポット,小樽市最上2丁目16-15,2016年11月19日(土)～12月9日(金)・9：30～21：002016年12月10日(土)～2017年3月26日(日)・9：00～21：00
クラフト＆ギャラリー　道里夢,小さなお子様も大歓迎！マグカップやお茶碗など作れる陶芸体験ができます！,蘭越町吉国38-5,営業時間：9：00～17：00(日没まで)定休日：不定休
紅葉の滝,秋には色鮮やかな広葉樹と滝からの水しぶきが重なり絶景！,蘭越町新見,冬季閉鎖
オスコイ！かもえない（道の駅）,日本海の絶景がすぐそこに見える道の駅おいしい水産加工品が豊富です,神恵内村大字赤石村字大森292-1,定休日／12月～3月休館(トイレ利用可)、開館期間中無休営業時間／9：00～17：00
定山源泉公園,源泉に親しめる定山渓名所が2017年7月にリニューアル！,札幌市南区定山渓温泉東3丁目,定休日／無休営業時間／7：00～21：00
白糸の滝,初夏から秋まで、自然と共に様々な表情を見せてくれる小さな滝,札幌市南区定山渓温泉東2丁目,12月～4月上旬は休止（定山渓発電所冬期渇水停止のため）
札幌ら～めん共和国,厳選の北海道ラーメンが集結！どれを選んでも間違いなし！,北海道札幌市中央区北5条西2丁目エスタ10階,年中無休11:00～22:00（ラストオーダー21:45）※年末年始は営業時間が変更になる場合もあります。
ノースサファリサッポロ,70種類以上の動物と触れ合えたり、エサをあげることができる動物園。お子さまに大人気のカピバラやウサギ、カワウソなども！,札幌市南区豊滝496-1,(ノースサファリサッポロ営業案内)動物園は2018年1月6日～1月21日毎日営業、以降4月1日まで土日祝日のみ営業アクティビティは3月21日まで毎日営業4月2日～4月24日メンテナンスの為休園4月28日～夏季営業開始※詳細はＨＰをご確認ください
スノーベリーファーム,おいしいイチゴが食べ放題！完熟イチゴのもぎたての味わいを満喫しよう,札幌市南区豊滝130,営業時間：9：00～16：00(受付～15：00)定休日：月・火・水・木・金(季節によって平日も営業しています)
札幌観光幌馬車,30年余年、札幌市民に愛されてきた銀太くんの幌馬車で、のんびり名所観光,札幌市中央区大通4丁目乗り場,運行期間：4月末～11月3日(雨天中止)水曜日10：00～16：00、9月～11月は15：00まで昼休み12：00～13：00　　
サッポロ さとらんど　(農業体験交流施設),自然と農業に触れる、楽しい・おいしい“田園テーマパーク”,札幌市東区丘珠町584-2,営業期間：4月29日～11月3日／無休、11月4日～4月28日／月曜(祝日の場合はその翌日)、年末年始(12月29～1月3日)営業時間：4月29日～9月30日／9:00～18:00、10月1日～4月28日／9:00～17:00　
札幌市天文台,天文台の一般夜間公開で星座や惑星を観る。天文に詳しくなくても大丈夫,札幌市中央区中島公園1-17,公開時間：10：00～12：00、14：00～16：00休館日：月曜、火曜午後、祝日の翌日、年末年始夜間公開：20：00～22：00(4月～8月)　　　　　19：00～21：00(3月・9月・10月) 　　　　　18:00～20：00(11月～2月)
札幌市青少年科学館,北海道の特色を体験しながら学べる！大人も夢中になれる科学体験ワールド,札幌市厚別区厚別中央1条5丁目2-20,月曜、毎月最終火曜日、祝日の翌日、年末年始・9:00～17:00(5月～9月)、9:30～16:30(10月～4月)
さっぽろうぉ～く（循環型路線バス）,札幌市内観光は、お財布にも環境にもやさしい循環型路線バスがおすすめ,札幌駅前バスターミナル、札幌駅前,さっぽろうぉ～く／毎日6:50～22:50まで概ね20分間隔で運行
さっぽろ羊ヶ丘展望台,クラーク博士と同じポーズで、ハイ・チーズ！札幌の記念写真スポットの定番です,札幌市豊平区羊ヶ丘1,■定休日なし■営業時間5～6月／8:30～18:00　7～8月／8:30～19:00　9月／8：30～18：0010～4月／9:00～17:00
Steven's Stable　(乗馬),外国人ガイドと海外でトレッキングしている気分を味わおう！,札幌市西区小別沢149,営業時間：10:00～日没まで定休日：月曜日
サッポロファクトリー,札幌の歴史と先端を象徴する巨大なショッピングモール,札幌市中央区北2条東4丁目,営業時間：ショッピング10:00～20:00　レストラン11:00～22:00一部店舗異なる定休日：不定休
札幌市時計台(旧札幌農学校演武場)  (重要文化財),札幌の歴史を刻み続けてきた時計台の息づかいを感じてください,札幌市中央区北1条西2丁目1－1,・定休日：年始（1月1日～1月3日）・営業時間　8：45～17：10(入館は17：00まで)
渡辺淳一文学館,ベストセラー作家・渡辺淳一自身が展示内容を構成・企画した文学館,札幌市中央区南12条西6丁目414,営業時間／9：00～18：00（11月～3月は17：30）※最終入館は閉館の30分前定休日／月曜日（祝日の場合は翌平日）
大通公園,都市の真ん中に花々と水辺があり、のんびり憩える公園がある。札幌の自慢です,札幌市中央区大通西1～12丁目,休園日なし・24時間開園
札幌Skyクルージング　(遊覧飛行),空の上の爽快札幌散歩。大感動のパノラマビューが待っています,札幌市東区丘珠町63　札幌丘珠空港内,営業時間：4月～10月　9：00～17：00(着陸)11月～3月　9：00～16：00(着陸)定休日：なし
本郷新記念 札幌彫刻美術館,あなたが旅先の名所で何気なく観ていた彫刻は、 本郷新の作品かもしれません,札幌市中央区宮の森4条12丁目,営業時間：10:00～17:00(入館16:30まで)定休日：月曜日(祝日の場合翌日)年末年始・展示換え期間
豊平峡ダム（紅葉）,眼下に広がる定山湖と色鮮やかな木々の景観美を楽しめます,札幌市南区定山渓840番地先,営業期間／2016年5月1日（日）～11月3日（木祝）営業時間／8：45～16：00
ビッセスイーツ,道内の人気スイーツ6店舗が大集合した至福の空間,札幌市中央区大通西3丁目　大通ビッセ1階,10：00～21：00
